year,genre,songs,vader_mean,textblob_mean,meets_minimum
1965,R&B/Soul,33,0.41355757575757573,0.15173778315276842,True
1965,Pop,24,0.4435875,0.12955950890718293,True
1965,Rock,19,0.3026473684210526,0.04169961513614023,True
1965,Country,5,0.9063800000000001,0.1270406322072989,True
1965,Alternative,3,0.6848333333333333,0.17227678193067206,False
1965,Christian,2,0.6835,0.259375,False
1965,Folk,2,0.98615,0.3201388888888888,False
1965,Jazz,1,0.5975,0.0643939393939393,False
1985,Rock,50,0.415752,0.08379287364439823,True
1985,Pop,17,0.36328235294117645,0.12619798478272481,True
1985,R&B/Soul,14,0.18762142857142858,0.1671261474875735,True
1985,Metal,4,0.929375,0.11641609144860443,False
1985,Dance/Electronic,3,0.9900666666666668,0.13188015797716937,False
1985,Christian,2,0.9994000000000001,0.3363740079365078,False
1985,Other,2,0.9799,0.21093529541446204,False
1985,Hip-Hop,1,0.9943,0.1533333333333333,False
1985,Jazz,1,-0.9983,0.0890350877192982,False
2005,Hip-Hop,22,0.2660681818181818,0.008894625885737318,True
2005,R&B/Soul,18,0.57365,0.13554334918136435,True
2005,Country,16,0.78548125,0.10439157067914888,True
2005,Pop,15,0.5622933333333333,0.09849531868149711,True
2005,Alternative,13,0.39376153846153844,0.12129359916213897,True
2005,Dance/Electronic,3,-0.1642,0.021039619551524263,False
2005,Latin,3,0.2737,0.1614831349206349,False
2005,Rock,3,0.07996666666666667,0.16761830784502343,False
2005,Christian,1,0.9663,0.2809682539682539,False
2005,Other,1,0.9987,0.4782608695652174,False
2025,Pop,26,0.554873076923077,0.05803094268894882,True
2025,Country,25,0.209364,0.06598376213315793,True
2025,Hip-Hop,16,-0.18405625,0.005767431566314129,True
2025,R&B/Soul,10,0.19966,0.007139756524524159,True
2025,Latin,9,-0.8014111111111111,-0.0285185185185185,True
2025,Alternative,8,0.2558625,0.0377855871235938,True
2025,Christian,2,0.99855,0.1436863425925926,False
2025,Folk,1,-0.9618,0.1877551020408163,False
2025,Metal,1,-0.8848,0.0912840136054421,False
2025,Rock,1,-0.0516,-0.1166666666666666,False
