comparison,metric,mean_difference,ci_low,ci_high
2025 minus 1965–2005 pooled,vader_fulltext_score,-0.31408292275270694,-0.5171220321015915,-0.11697233095341915
2025 minus 1965–2005 pooled,textblob_fulltext_score,-0.07412784694507155,-0.11193571528079728,-0.03676195331093813
